Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
47650,577,95.99,1.56,11.02,-0.14,4.06
47702,578,95.99,1.56,11.02,0.11,2.83
47754,580,95.99,1.56,11.02,0.11,2.59
47806,581,95.99,1.56,11.02,0.16,2.71
47858,583,95.99,1.56,11.02,0.11,1.98
47910,584,95.99,1.56,11.02,0.11,2.10
47962,586,95.99,1.56,11.02,0.16,1.61
48014,587,95.99,1.56,11.02,0.16,0.76
48066,589,95.99,1.56,11.02,0.16,1.98
48118,590,95.99,1.56,11.02,0.16,3.08
48171,592,95.99,1.56,11.02,0.06,2.59
48223,593,95.99,1.56,11.02,0.06,2.47
48275,595,95.99,1.56,11.02,0.06,0.88
48327,596,95.99,1.56,11.02,0.20,0.88
48379,598,95.99,1.56,11.02,0.11,0.63
48431,599,95.99,1.56,11.02,-0.04,0.88
48483,601,95.99,1.56,11.02,-0.09,1.86
48535,602,95.99,1.56,11.02,-0.04,4.30
48587,604,95.99,1.56,11.02,0.01,1.86
48640,605,95.99,1.56,11.02,0.20,4.67
48692,607,95.99,1.56,11.02,0.01,3.93
48744,608,95.99,1.56,11.02,-0.09,5.52
48796,610,95.99,1.56,11.02,0.01,3.69
48848,611,95.99,1.56,11.02,0.11,2.10
48900,613,95.99,1.56,11.02,-0.04,2.35
48952,614,95.99,1.56,11.02,0.16,1.61
49004,616,95.99,1.56,11.02,0.11,1.37
49056,617,95.99,1.56,11.02,0.06,1.49
49108,619,95.99,1.56,11.02,-0.14,1.25
49161,620,95.99,1.56,11.02,0.01,4.79
49215,622,92.12,1.50,11.02,0.06,1.25
49267,623,92.12,1.50,11.02,0.06,1.73
49321,625,88.40,1.44,11.02,-0.04,4.79
49374,626,88.40,1.44,11.02,0.20,2.10
49426,628,88.40,1.44,11.02,-0.04,2.35
49478,629,88.40,1.44,11.02,0.01,1.49
49530,631,88.40,1.44,11.02,0.06,1.86
49582,632,88.40,1.44,11.02,0.11,3.45
49636,634,84.84,1.38,11.03,-0.09,5.89
49688,635,84.84,1.38,11.03,0.11,4.30
49740,637,84.84,1.38,11.03,0.16,2.83
49792,638,84.84,1.38,11.03,0.06,1.86
49846,640,81.42,1.33,11.03,-0.04,2.96
