time_s,hip_fl_rad,knee_fl_rad,hip_fr_rad,knee_fr_rad,hip_rl_rad,knee_rl_rad,hip_rr_rad,knee_rr_rad,hip_fl_deg,knee_fl_deg,hip_fr_deg,knee_fr_deg,hip_rl_deg,knee_rl_deg,hip_rr_deg,knee_rr_deg
3.4,-1.21310325118715,1.45752831937557,-0.844039870667531,1.80864022050063,-0.901096332953501,1.5533874704349,-1.00863135491504,1.38015333937635,-69.5056964066224,83.5102212210161,-48.3599223300174,103.627451292296,-51.6290168129508,89.002546004423,-57.7903197211935,79.0769614271517
3.425,-1.22407568168024,1.43843870087938,-0.813155311407119,1.82138371411494,-0.871011584132102,1.56256283186863,-1.00878998040635,1.34636933230552,-70.1343703648772,82.4164666486696,-46.5903674322741,104.357599692649,-49.9052876777735,89.5282554900827,-57.799408292369,77.1412804069527
3.45,-1.23241117881482,1.41643282586981,-0.791175763391446,1.82195737111193,-0.842220802364856,1.56978002480573,-1.00615162558904,1.31938948039776,-70.6119591708319,81.1556228861286,-45.3310320953709,104.390467817465,-48.2556973936281,89.94177018531,-57.6482416964788,75.5954487607504
3.475,-1.24132526373953,1.42569341674052,-0.815215774711362,1.81546254369101,-0.843700057308354,1.54433573561864,-1.0215217771927,1.29527211076371,-71.1226986152387,81.6862156588179,-46.7084232834488,104.01834161758,-48.3404524587144,88.4839198021794,-58.5288865138448,74.2136252677625
3.5,-1.24329812056326,1.45260516465459,-0.844466855834661,1.80502396683253,-0.865609600234962,1.5301673000981,-1.04114732330172,1.2796477319081,-71.2357349848223,83.2281452336138,-48.3843867780086,103.420255219466,-49.5957767994697,87.6721282445493,-59.653347476531,73.3184143018226
3.525,-1.23762061777864,1.4798682511096,-0.872014001208533,1.79268689992031,-0.888522883945153,1.51842573488676,-1.04809287064924,1.30222581163,-70.9104380370895,84.7902050239865,-49.9627219455648,102.713393353825,-50.9086112508495,86.9993861130621,-60.0512980259522,74.6120429793972
3.55,-1.22999328024585,1.51028532300124,-0.898892632095856,1.77900232488879,-0.911216386696869,1.50579762328667,-1.04627311036517,1.32885312704388,-70.4734237875392,86.5329748685231,-51.5027540544984,101.929324960089,-52.2088531808914,86.2758486151566,-59.9470334419495,76.1376757723761
3.575,-1.2210227684722,1.54099084387862,-0.926137100662171,1.76444324644019,-0.934209121405584,1.49198356200043,-1.04116378667692,1.35574727475179,-69.9594513228368,88.2922716225483,-53.0637471184251,101.095151211385,-53.5262398391647,85.4843612055199,-59.6542907584469,77.6785969296406
3.6,-1.2120608740677,1.57170426717648,-0.954144268950162,1.74898222812933,-0.958022727792007,1.47722644771755,-1.03576890566007,1.38333004672822,-69.4459725970165,90.0520211519143,-54.6684396574396,100.209300115198,-54.8906589800925,84.6388408393188,-59.3451868452062,79.258973351162
3.625,-1.20240650319137,1.60233200147172,-0.982989087505324,1.73271670207886,-0.982711691334843,1.46155535554744,-1.03032314610096,1.41130181468772,-68.8928178919489,91.8068610630797,-56.321126021471,99.2773541209455,-56.3052323916494,83.7409533976107,-59.0331678062258,80.8616376007606
3.65,-1.19107866124683,1.63285060886909,-1.01270485769208,1.7156643066964,-1.00835149461226,1.44502726981572,-1.02548482100649,1.43968637203689,-68.2437803575357,93.5554484635659,-58.023714238153,98.3003238349422,-57.7742849069911,82.7939638417526,-58.7559521984005,82.4879529402152
3.675,-1.17464833862287,1.66306177656334,-1.04315452706822,1.69776267978343,-1.03483987227248,1.42759021964102,-1.02154527037351,1.46831260577493,-67.3023922151446,95.2864208666081,-59.7683517809741,97.2746361664111,-59.2919571530704,81.7948944595845,-58.5302325739526,84.1281153167597
3.7,-1.15074924814381,1.69270349576188,-1.07388752866145,1.67887709285513,-1.06175701225522,1.4090868008957,-1.01784193787567,1.49675696833295,-65.9330751964929,96.9847662741966,-61.5292230640351,96.1925717417919,-60.8341956706444,80.7347266589147,-58.3180472516929,85.7578572422743
3.725,-1.12089191799497,1.72100872369792,-1.10352366929891,1.6576220670245,-1.08865066888997,1.38944204532701,-1.0147956904246,1.52530181581753,-64.2223761914357,98.6065363730871,-63.2272488436182,94.9747484682552,-62.3750886914895,79.6091650752627,-58.1435101293943,87.3933565299854
3.75,-1.08909256128558,1.73368505086348,-1.13048728837958,1.63422433582749,-1.11291478399749,1.36717117388128,-1.00585469066763,1.55336890552557,-62.4004072607566,99.3328364194008,-64.7721504173385,93.6341572204852,-63.7653200807698,78.3331381353438,-57.6312285786921,89.001482313471
3.775,-1.08983493411279,1.70529613742048,-1.14895063787999,1.61082112994463,-1.11291827855736,1.36557178855267,-0.98051380822725,1.58047728261144,-62.4429420905809,97.7062714941547,-65.8300224193872,92.2932522963216,-63.7655203043018,78.2415001061995,-56.1793029657212,90.5546779099405
3.8,-1.10088072279634,1.68324178913404,-1.14575785253557,1.62276646945414,-1.09551045853243,1.38377983119257,-0.947310586739989,1.58292722322315,-63.0758191635416,96.44265041743,-65.6470892942609,92.9776698350674,-62.7681256863498,79.28474410266,-54.2768985082631,90.6950491670491
